video_stem,superimage_path,labels_str,fold
2019,data/super_images/2019_3x3.jpg,0,0
202,data/super_images/202_3x3.jpg,0,4
2022,data/super_images/2022_3x3.jpg,0,2
2023,data/super_images/2023_3x3.jpg,0,2
2036,data/super_images/2036_3x3.jpg,0,0
2049,data/super_images/2049_3x3.jpg,0,4
2088,data/super_images/2088_3x3.jpg,0,4
209,data/super_images/209_3x3.jpg,0,1
2092,data/super_images/2092_3x3.jpg,0,3
2096,data/super_images/2096_3x3.jpg,0,4
2106,data/super_images/2106_3x3.jpg,0,4
211,data/super_images/211_3x3.jpg,0,3
2112,data/super_images/2112_3x3.jpg,0,3
2123,data/super_images/2123_3x3.jpg,0,1
2129,data/super_images/2129_3x3.jpg,0,3
213,data/super_images/213_3x3.jpg,0,4
1004,data/super_images/1004_3x3.jpg,0,3
1007,data/super_images/1007_3x3.jpg,0,4
1008,data/super_images/1008_3x3.jpg,0,1
1011,data/super_images/1011_3x3.jpg,0,2
1013,data/super_images/1013_3x3.jpg,0,1
1020,data/super_images/1020_3x3.jpg,0,2
1021,data/super_images/1021_3x3.jpg,0,4
1030,data/super_images/1030_3x3.jpg,0,3
1031,data/super_images/1031_3x3.jpg,0,0
1036,data/super_images/1036_3x3.jpg,0,3
1041,data/super_images/1041_3x3.jpg,0,0
1042,data/super_images/1042_3x3.jpg,0,3
1049,data/super_images/1049_3x3.jpg,0,4
1052,data/super_images/1052_3x3.jpg,0,4
1054,data/super_images/1054_3x3.jpg,0,4
1057,data/super_images/1057_3x3.jpg,0,4
1910,data/super_images/1910_3x3.jpg,0,4
1912,data/super_images/1912_3x3.jpg,0,4
1916,data/super_images/1916_3x3.jpg,0,2
1923,data/super_images/1923_3x3.jpg,0,4
1928,data/super_images/1928_3x3.jpg,0,4
194,data/super_images/194_3x3.jpg,0,2
195,data/super_images/195_3x3.jpg,0,2
1964,data/super_images/1964_3x3.jpg,0,1
1969,data/super_images/1969_3x3.jpg,0,4
197,data/super_images/197_3x3.jpg,0,4
1974,data/super_images/1974_3x3.jpg,0,1
1983,data/super_images/1983_3x3.jpg,0,3
199,data/super_images/199_3x3.jpg,0,4
200,data/super_images/200_3x3.jpg,0,2
2003,data/super_images/2003_3x3.jpg,0,1
201,data/super_images/201_3x3.jpg,0,3
1060,data/super_images/1060_3x3.jpg,0,4
1066,data/super_images/1066_3x3.jpg,0,3
1068,data/super_images/1068_3x3.jpg,0,3
1072,data/super_images/1072_3x3.jpg,0,1
1075,data/super_images/1075_3x3.jpg,0,0
1076,data/super_images/1076_3x3.jpg,0,2
1079,data/super_images/1079_3x3.jpg,0,1
1083,data/super_images/1083_3x3.jpg,0,2
1085,data/super_images/1085_3x3.jpg,0,4
1087,data/super_images/1087_3x3.jpg,0,4
1790,data/super_images/1790_3x3.jpg,0,0
1817,data/super_images/1817_3x3.jpg,0,3
1831,data/super_images/1831_3x3.jpg,0,0
1858,data/super_images/1858_3x3.jpg,0,1
187,data/super_images/187_3x3.jpg,0,1
190,data/super_images/190_3x3.jpg,0,4
2136,data/super_images/2136_3x3.jpg,0,2
215,data/super_images/215_3x3.jpg,0,0
2165,data/super_images/2165_3x3.jpg,0,4
2171,data/super_images/2171_3x3.jpg,0,1
2178,data/super_images/2178_3x3.jpg,0,4
218,data/super_images/218_3x3.jpg,0,4
2186,data/super_images/2186_3x3.jpg,0,4
2187,data/super_images/2187_3x3.jpg,0,0
2188,data/super_images/2188_3x3.jpg,0,1
2189,data/super_images/2189_3x3.jpg,0,2
219,data/super_images/219_3x3.jpg,0,3
2192,data/super_images/2192_3x3.jpg,0,2
2196,data/super_images/2196_3x3.jpg,0,2
2204,data/super_images/2204_3x3.jpg,0,3
2208,data/super_images/2208_3x3.jpg,0,0
2216,data/super_images/2216_3x3.jpg,0,4
2217,data/super_images/2217_3x3.jpg,0,2
2222,data/super_images/2222_3x3.jpg,0,4
223,data/super_images/223_3x3.jpg,0,4
2233,data/super_images/2233_3x3.jpg,0,0
224,data/super_images/224_3x3.jpg,0,2
2244,data/super_images/2244_3x3.jpg,0,0
225,data/super_images/225_3x3.jpg,0,1
2255,data/super_images/2255_3x3.jpg,0,1
227,data/super_images/227_3x3.jpg,0,1
229,data/super_images/229_3x3.jpg,0,2
2311,data/super_images/2311_3x3.jpg,0,4
2314,data/super_images/2314_3x3.jpg,0,2
2330,data/super_images/2330_3x3.jpg,0,2
2332,data/super_images/2332_3x3.jpg,0,3
2335,data/super_images/2335_3x3.jpg,0,1
2338,data/super_images/2338_3x3.jpg,0,0
2347,data/super_images/2347_3x3.jpg,0,3
2348,data/super_images/2348_3x3.jpg,0,3
2351,data/super_images/2351_3x3.jpg,0,4
2359,data/super_images/2359_3x3.jpg,0,3
2364,data/super_images/2364_3x3.jpg,0,2
2418,data/super_images/2418_3x3.jpg,0,4
245,data/super_images/245_3x3.jpg,0,1
2451,data/super_images/2451_3x3.jpg,0,0
2461,data/super_images/2461_3x3.jpg,0,1
25002,data/super_images/25002_3x3.jpg,6,3
25037,data/super_images/25037_3x3.jpg,1 6,2
25046,data/super_images/25046_3x3.jpg,5,4
25079,data/super_images/25079_3x3.jpg,1 4,4
25082,data/super_images/25082_3x3.jpg,12,2
25083,data/super_images/25083_3x3.jpg,15,3
25086,data/super_images/25086_3x3.jpg,6,2
25097,data/super_images/25097_3x3.jpg,1 8,1
25120,data/super_images/25120_3x3.jpg,7,0
25125,data/super_images/25125_3x3.jpg,6 7,0
25152,data/super_images/25152_3x3.jpg,1 12,0
25153,data/super_images/25153_3x3.jpg,3 7,4
25162,data/super_images/25162_3x3.jpg,12,4
