video_stem,n_frames,duplications_needed,case
1000,9,0,0_duplications (super-image complète)
1001,7,2,2_duplications
1002,7,2,2_duplications
1003,7,2,2_duplications
1004,8,1,1_duplication
1005,6,3,3_duplications
1006,7,2,2_duplications
1007,9,0,0_duplications (super-image complète)
1008,8,1,1_duplication
1010,7,2,2_duplications
1011,9,0,0_duplications (super-image complète)
1013,9,0,0_duplications (super-image complète)
1015,5,4,4_duplications
1016,9,0,0_duplications (super-image complète)
1019,7,2,2_duplications
1020,8,1,1_duplication
1021,8,1,1_duplication
1023,7,2,2_duplications
1025,7,2,2_duplications
1026,7,2,2_duplications
1029,7,2,2_duplications
1030,8,1,1_duplication
1031,8,1,1_duplication
1032,6,3,3_duplications
1033,7,2,2_duplications
1034,6,3,3_duplications
1036,8,1,1_duplication
1037,8,1,1_duplication
1039,3,6,6_duplications
1040,6,3,3_duplications
1041,9,0,0_duplications (super-image complète)
1042,9,0,0_duplications (super-image complète)
1043,6,3,3_duplications
1044,7,2,2_duplications
1045,6,3,3_duplications
1046,7,2,2_duplications
1047,3,6,6_duplications
1048,7,2,2_duplications
1049,8,1,1_duplication
1050,8,1,1_duplication
1051,6,3,3_duplications
1052,8,1,1_duplication
1053,7,2,2_duplications
1054,8,1,1_duplication
1055,7,2,2_duplications
1056,7,2,2_duplications
1057,9,0,0_duplications (super-image complète)
1059,9,0,0_duplications (super-image complète)
1060,8,1,1_duplication
1062,5,4,4_duplications
1063,6,3,3_duplications
1064,6,3,3_duplications
1065,7,2,2_duplications
1066,9,0,0_duplications (super-image complète)
1068,9,0,0_duplications (super-image complète)
1069,9,0,0_duplications (super-image complète)
1071,8,1,1_duplication
1072,8,1,1_duplication
1075,8,1,1_duplication
1076,8,1,1_duplication
1077,8,1,1_duplication
1078,6,3,3_duplications
1079,9,0,0_duplications (super-image complète)
1080,6,3,3_duplications
1082,7,2,2_duplications
1083,9,0,0_duplications (super-image complète)
1084,7,2,2_duplications
1085,9,0,0_duplications (super-image complète)
1087,9,0,0_duplications (super-image complète)
1088,7,2,2_duplications
1089,8,1,1_duplication
1777,7,2,2_duplications
1778,5,4,4_duplications
1779,2,7,7_duplications
1780,2,7,7_duplications
1782,6,3,3_duplications
1783,3,6,6_duplications
1784,2,7,7_duplications
1785,5,4,4_duplications
1787,6,3,3_duplications
1789,8,1,1_duplication
1790,8,1,1_duplication
1791,3,6,6_duplications
1792,7,2,2_duplications
1794,6,3,3_duplications
1795,7,2,2_duplications
1796,5,4,4_duplications
1798,4,5,5_duplications
1799,4,5,5_duplications
1800,3,6,6_duplications
1802,5,4,4_duplications
1803,4,5,5_duplications
1804,5,4,4_duplications
1805,5,4,4_duplications
1806,4,5,5_duplications
1809,4,5,5_duplications
1811,5,4,4_duplications
1812,3,6,6_duplications
1813,3,6,6_duplications
1815,3,6,6_duplications
1816,9,0,0_duplications (super-image complète)
1817,9,0,0_duplications (super-image complète)
1818,3,6,6_duplications
1819,4,5,5_duplications
1821,4,5,5_duplications
1822,2,7,7_duplications
1824,4,5,5_duplications
1826,3,6,6_duplications
1827,6,3,3_duplications
1828,4,5,5_duplications
1831,9,0,0_duplications (super-image complète)
1834,5,4,4_duplications
1835,6,3,3_duplications
1836,4,5,5_duplications
1838,7,2,2_duplications
1841,7,2,2_duplications
1842,5,4,4_duplications
1843,5,4,4_duplications
1844,3,6,6_duplications
1846,5,4,4_duplications
1847,7,2,2_duplications
1849,3,6,6_duplications
1851,5,4,4_duplications
1852,3,6,6_duplications
1853,4,5,5_duplications
1858,8,1,1_duplication
1860,5,4,4_duplications
1861,3,6,6_duplications
1862,4,5,5_duplications
1863,8,1,1_duplication
1864,7,2,2_duplications
1866,4,5,5_duplications
1867,6,3,3_duplications
1868,6,3,3_duplications
1869,5,4,4_duplications
187,9,0,0_duplications (super-image complète)
1870,8,1,1_duplication
1871,5,4,4_duplications
1872,8,1,1_duplication
1873,3,6,6_duplications
1874,7,2,2_duplications
1877,3,6,6_duplications
1878,4,5,5_duplications
1879,4,5,5_duplications
188,8,1,1_duplication
1882,4,5,5_duplications
1883,3,6,6_duplications
1885,3,6,6_duplications
1886,4,5,5_duplications
1887,3,6,6_duplications
1888,7,2,2_duplications
1889,5,4,4_duplications
1892,5,4,4_duplications
1895,5,4,4_duplications
1896,5,4,4_duplications
